icao24,origin_country,longitude,latitude,altitude,velocity,heading,vertical_rate,on_ground,callsign
0e8e11,India,51.27304936507025,-41.24942799352325,15625.524523918386,322.4224262283258,188.1360084532034,-6.954539710987236,False,CS6367
04beb3,France,52.1016068645761,53.684724721936874,34697.242745981,277.20773162951417,145.05766199332868,7.745958811629336,True,CS6692
01fa74,United States,179.58424102035428,2.3938183786105895,37412.14762678424,159.64678399909735,56.6038954321278,-2.02551757145163,True,CS1637
030315,Switzerland,132.32374673887233,63.15055007631838,29640.73330939472,317.8945911411761,142.5932635280731,-1.5042745673684124,False,CS9234
0ecd81,France,21.939471194926483,36.97333278733882,19159.394781105537,419.22835335554277,140.4303117295476,-10.679064080463935,False,CS7925
03e607,India,-90.5624265786851,-63.03775796510274,10029.523005523853,386.2279552650743,34.38123600090444,-9.867956995632113,True,CS4617
0d4e6b,Australia,17.740275788537474,20.150188150523434,39363.7171891186,258.34727615902614,272.20248328675024,5.509056023167783,False,CS2525
0a7cd9,Switzerland,-31.952873359733474,35.08882216574467,25956.11468423665,431.25030154714875,268.2752377228986,10.938443084663493,False,CS1950
0c3766,United States,-165.7752786829239,-63.4633398488176,38393.68510895471,615.0213342508944,154.42619647157153,-4.841286689230115,False,CS4838
0d9b05,Switzerland,155.57419856383422,63.99404694462527,23640.616029930683,876.7983517588467,200.69381773669994,0.7034656636876022,True,CS6307
0c35aa,Germany,80.9912824180517,22.31712230312415,16562.580832384036,803.2654389475464,204.48527687928794,-13.633362317737877,True,CS9354
0b824e,United States,-45.35780113128493,66.85065354891918,31669.729977483894,874.2747728350852,158.264666793235,3.443073137469444,False,CS3685
06f6b6,Switzerland,18.249460476947178,-18.67661078309679,23061.5417761797,457.5948684665431,63.00417812853552,9.666658411673744,False,CS7334
0bf80b,Australia,58.19292736790101,-84.45253077573875,32612.650791544875,791.0186422267203,190.77203738498162,-2.3371502369244297,False,CS7182
01ff2b,France,-165.4560307122862,69.9229041387363,39585.65890818773,382.17271105979614,132.57142125252676,-6.196524104710205,True,CS3206
09cfc0,Germany,5.833957378002765,54.50962558845953,28706.015566040973,268.64310858908664,325.32750932695825,7.244128064739275,False,CS8310
08ae40,France,43.10396024161966,-79.18048452857612,18727.827346880593,275.1166206818661,182.18131801821363,6.010470519756016,False,CS7056
0e9661,Germany,-164.4884340089267,4.628410815296903,23602.062202976744,896.2016202956383,247.02906957937535,-3.202750191523762,False,CS9879
0c57cb,United States,131.26088296130587,-85.47843093323273,33162.13177504456,222.45892451137334,353.4854803261528,-5.212133828846097,False,CS2828
0d1303,Australia,70.7106268230514,59.09490220462706,24876.734624682744,893.7321819987726,2.3259354008669275,-10.452404351973591,False,CS5214
01c76f,United States,-38.82471738364788,68.58373040002263,13352.816456135044,686.4448643723708,199.66384496370716,-8.335742493343194,False,CS6082
0227f7,India,-8.550012862233814,74.49933517931737,20163.10023717759,450.15284595020256,321.8210275759415,-6.091563733081477,True,CS1585
02de84,France,-26.272615601840045,-55.391741618638825,16437.466150903063,400.7642644911546,52.0550871287109,5.9039935377234585,False,CS4261
